phi,theta,time,FILE,FILE_test
-180,-90,0.00E+00,image/0.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,1.00E+00,image/1.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,2.00E+00,image/2.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,3.00E+00,image/3.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,4.00E+00,image/4.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,5.00E+00,image/5.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,6.00E+00,image/6.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,7.00E+00,image/7.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,8.00E+00,image/8.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,-90,9.00E+00,image/9.000000e+00/-180/-90.png,image/0.000000e+00/-180/-90.png
-180,0,0.00E+00,image/0.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,1.00E+00,image/1.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,2.00E+00,image/2.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,3.00E+00,image/3.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,4.00E+00,image/4.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,5.00E+00,image/5.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,6.00E+00,image/6.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,7.00E+00,image/7.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,8.00E+00,image/8.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-180,0,9.00E+00,image/9.000000e+00/-180/0.png,image/0.000000e+00/-180/-90.png
-90,-90,0.00E+00,image/0.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,1.00E+00,image/1.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,2.00E+00,image/2.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,3.00E+00,image/3.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,4.00E+00,image/4.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,5.00E+00,image/5.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,6.00E+00,image/6.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,7.00E+00,image/7.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,8.00E+00,image/8.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,-90,9.00E+00,image/9.000000e+00/-90/-90.png,image/0.000000e+00/-180/-90.png
-90,0,0.00E+00,image/0.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,1.00E+00,image/1.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,2.00E+00,image/2.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,3.00E+00,image/3.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,4.00E+00,image/4.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,5.00E+00,image/5.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,6.00E+00,image/6.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,7.00E+00,image/7.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,8.00E+00,image/8.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
-90,0,9.00E+00,image/9.000000e+00/-90/0.png,image/0.000000e+00/-180/-90.png
0,-90,0.00E+00,image/0.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,1.00E+00,image/1.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,2.00E+00,image/2.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,3.00E+00,image/3.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,4.00E+00,image/4.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,5.00E+00,image/5.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,6.00E+00,image/6.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,7.00E+00,image/7.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,8.00E+00,image/8.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,-90,9.00E+00,image/9.000000e+00/0/-90.png,image/0.000000e+00/-180/-90.png
0,0,0.00E+00,image/0.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,1.00E+00,image/1.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,2.00E+00,image/2.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,3.00E+00,image/3.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,4.00E+00,image/4.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,5.00E+00,image/5.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,6.00E+00,image/6.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,7.00E+00,image/7.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,8.00E+00,image/8.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
0,0,9.00E+00,image/9.000000e+00/0/0.png,image/0.000000e+00/-180/-90.png
90,-90,0.00E+00,image/0.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,1.00E+00,image/1.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,2.00E+00,image/2.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,3.00E+00,image/3.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,4.00E+00,image/4.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,5.00E+00,image/5.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,6.00E+00,image/6.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,7.00E+00,image/7.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,8.00E+00,image/8.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,-90,9.00E+00,image/9.000000e+00/90/-90.png,image/0.000000e+00/-180/-90.png
90,0,0.00E+00,image/0.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,1.00E+00,image/1.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,2.00E+00,image/2.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,3.00E+00,image/3.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,4.00E+00,image/4.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,5.00E+00,image/5.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,6.00E+00,image/6.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,7.00E+00,image/7.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,8.00E+00,image/8.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png
90,0,9.00E+00,image/9.000000e+00/90/0.png,image/0.000000e+00/-180/-90.png